,tract_block,lattitude,longitude
0,6903002010,41.76842760001714,-87.62947799990832
1,6809003007,41.773680999989416,-87.63444323526626
2,6809003013,41.773024172419525,-87.63629413810365
3,2909004019,41.859820941214885,-87.73804023550441
4,2925004016,41.85587829625059,-87.7313191852214
5,2925004000,41.85813819454228,-87.73109741665003
6,3009002003,41.85054149998289,-87.70457188897122
7,8407002002,41.85092399993146,-87.69863084999773
8,8407003019,41.852898833391826,-87.6896798332828
9,7502003005,41.69613266677416,-87.6752208749784
10,7302023021,41.72345120010608,-87.65017830003616
11,7302021034,41.723820888836194,-87.6495977775956
12,7307002042,41.700393799968175,-87.65149780003232
13,7501002002,41.69902280970732,-87.6515483808076
14,6607001020,41.777925375073195,-87.68325987540081
15,6713001021,41.774710111136685,-87.6728314446788
16,6705001049,41.78180331240998,-87.67634749989834
17,5705001020,41.79898371415697,-87.73283071428816
18,5608002002,41.799204461547454,-87.76890461538514
19,7402004007,41.704060679941605,-87.71040123988926
20,7402004011,41.70482114295559,-87.71331242866094
21,7503003008,41.69618290902016,-87.68777354527099
22,7205001022,41.702816285731636,-87.6869797143763
23,7004011012,41.748330000082014,-87.70815514303253
24,6611004013,41.76305899989446,-87.70672562496298
25,6609003010,41.767987267864974,-87.70778292856444
26,6503011001,41.77834784602257,-87.73050184617617
27,8352001032,41.798843214249395,-87.74353157122981
28,5607001001,41.79545029159831,-87.75647562504298
29,6404001017,41.781378071491304,-87.78510978558647
30,6404002031,41.78214914294534,-87.78643999991102
31,6404002019,41.7833673125628,-87.78697618752906
32,5610006010,41.78928269997232,-87.8004542000031
33,7201001002,41.725731857144844,-87.67529735726349
34,5305033025,41.66275408339554,-87.640490999986
35,5305032044,41.66610200009335,-87.64006033316304
36,7004023014,41.739877400051526,-87.7080392000353
37,7004021004,41.74081069995657,-87.72129309989415
38,7003011011,41.74710899984402,-87.72348612513039
39,7004012025,41.746092333515456,-87.7182702223079
40,7004012019,41.747539222360565,-87.71804700011194
41,7108002011,41.74580658327101,-87.64420158333631
42,7101001023,41.75091169986736,-87.641058300112
43,7115001001,41.736032899936724,-87.63564940034482
44,7115001008,41.734868000268115,-87.63488214306741
45,6703001006,41.78946989980405,-87.66539389981433
46,6114002002,41.80210850018056,-87.67229714290633
47,6119001027,41.796778100091764,-87.66435970022428
48,6702001018,41.791318272737534,-87.66296409099995
49,6806001000,41.78671445439991,-87.65042290919514
50,8348002009,41.7828111817133,-87.64632681828189
51,7506003004,41.69151445454931,-87.65328900005788
52,4911005022,41.699830000076766,-87.64169371424
53,7506003017,41.689577999962225,-87.65070466646831
54,7506001023,41.68920399979386,-87.64891869246459
