Zip,TRACTCE10
60601,839100
60601,320100
60602,839100
60602,320100
60602,320400
60603,839100
60603,320400
60604,839100
60604,320400
60605,839100
60605,320400
60605,839000
60605,320600
60605,330200
60605,330100
60606,280100
60606,839100
60606,281900
60607,280400
60607,833000
60607,838100
60607,833100
60607,832900
60607,838200
60607,283100
60607,283200
60607,833300
60607,841900
60607,831900
60607,839000
