,Group ID,DataSource,SourceID,Address,Male%,Female%,Median Age,Crime Type
63,1,Crime,2940309,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,CRIMINAL DAMAGE
64,1,Crime,2940316,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,CRIMINAL DAMAGE
65,1,Crime,3037666,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,OTHER OFFENSE
66,1,Crime,3334064,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,CRIMINAL TRESPASS
67,1,Crime,3348754,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,CRIMINAL TRESPASS
68,1,Crime,3362127,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,ASSAULT
69,1,Crime,3371104,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,CRIMINAL TRESPASS
70,1,Crime,3384210,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,THEFT
71,1,Crime,3448517,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,OTHER OFFENSE
72,1,Crime,3593666,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,OTHER OFFENSE
73,1,Crime,3662132,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,OTHER OFFENSE
74,1,Crime,3674705,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,BURGLARY
75,1,Crime,3726247,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,OTHER OFFENSE
76,1,Crime,3837883,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,CRIMINAL TRESPASS
77,1,Crime,3839867,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,CRIMINAL TRESPASS
78,1,Crime,3844380,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,OTHER OFFENSE
79,1,Crime,3942506,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,BURGLARY
80,1,Crime,4130986,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,BATTERY
81,1,Crime,4395438,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,CRIMINAL DAMAGE
82,1,Crime,4592162,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,ASSAULT
83,1,Crime,4729864,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,ROBBERY
84,1,Crime,5089355,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,THEFT
85,1,Crime,4795991,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,ASSAULT
86,1,Crime,5426052,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,ROBBERY
87,1,Crime,5911183,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,THEFT
88,1,Crime,6011599,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,THEFT
89,1,Crime,6212577,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,ASSAULT
90,1,Crime,6598888,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,CRIMINAL TRESPASS
91,1,Crime,6998800,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,THEFT
92,1,Crime,7176618,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,CRIMINAL TRESPASS
93,1,Crime,7274529,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,ASSAULT
94,1,Crime,7272994,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,ASSAULT
95,1,Crime,11262070,004XX S FINANCIAL PL,55.2791492594,44.7208507406,29.8,ROBBERY
113,2,Crime,11238887,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
114,2,Crime,10338438,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
115,2,Crime,11234988,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
116,2,Crime,11235957,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
117,2,Crime,11247894,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
118,2,Crime,10617254,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
119,2,Crime,11201273,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
120,2,Crime,11024184,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
121,2,Crime,10238719,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
122,2,Crime,10916484,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
123,2,Crime,10802655,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
124,2,Crime,10811141,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
125,2,Crime,10826776,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
126,2,Crime,10832558,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
127,2,Crime,10837891,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
128,2,Crime,10842022,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
129,2,Crime,10842023,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
130,2,Crime,11171139,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
131,2,Crime,11175426,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
132,2,Crime,1324857,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
133,2,Crime,1340770,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,PUBLIC PEACE VIOLATION
134,2,Crime,1341264,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,CRIMINAL TRESPASS
135,2,Crime,1343168,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
136,2,Crime,1348877,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
137,2,Crime,1354299,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
138,2,Crime,1366640,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
139,2,Crime,1367965,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
140,2,Crime,1373698,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
141,2,Crime,1384261,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
142,2,Crime,1401658,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
143,2,Crime,1401936,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
144,2,Crime,1407301,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
145,2,Crime,1420940,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
146,2,Crime,1426695,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
147,2,Crime,1429828,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
148,2,Crime,1447005,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
149,2,Crime,1449699,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
150,2,Crime,1450777,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
151,2,Crime,1450858,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
152,2,Crime,1463753,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
153,2,Crime,1470327,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,ASSAULT
154,2,Crime,1472583,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
155,2,Crime,1336561,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,ROBBERY
156,2,Crime,1485008,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
157,2,Crime,1491583,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
158,2,Crime,1504894,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
159,2,Crime,1532556,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
160,2,Crime,1535332,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
161,2,Crime,1543496,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
162,2,Crime,1543986,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
163,2,Crime,1549012,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
164,2,Crime,1568634,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
165,2,Crime,1580255,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
166,2,Crime,1584001,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,ROBBERY
167,2,Crime,1590357,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
168,2,Crime,1598659,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
169,2,Crime,1608935,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
170,2,Crime,1610368,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
171,2,Crime,1479124,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
172,2,Crime,1622427,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
173,2,Crime,1631183,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
174,2,Crime,1647608,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
175,2,Crime,1648170,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,CRIMINAL DAMAGE
176,2,Crime,1650033,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
177,2,Crime,1650098,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
178,2,Crime,1659371,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
179,2,Crime,1660491,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
180,2,Crime,1668915,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,CRIM SEXUAL ASSAULT
181,2,Crime,1672523,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
182,2,Crime,1674579,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
183,2,Crime,1690029,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
184,2,Crime,1690171,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
185,2,Crime,1697415,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
186,2,Crime,1700581,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
187,2,Crime,1705876,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
188,2,Crime,1736160,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,MOTOR VEHICLE THEFT
189,2,Crime,1750837,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
190,2,Crime,1758763,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
191,2,Crime,1621884,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
192,2,Crime,1775752,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
193,2,Crime,1776232,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
194,2,Crime,1780655,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
195,2,Crime,1789377,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
196,2,Crime,1790473,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
197,2,Crime,1793315,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
198,2,Crime,1798071,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
199,2,Crime,1798314,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
200,2,Crime,1802393,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,CRIMINAL DAMAGE
201,2,Crime,1818867,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
202,2,Crime,1832891,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
203,2,Crime,1837474,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,ROBBERY
204,2,Crime,1838075,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,WEAPONS VIOLATION
205,2,Crime,1845252,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
206,2,Crime,1869512,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
207,2,Crime,1878292,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
208,2,Crime,1884265,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
209,2,Crime,1886715,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,CRIMINAL TRESPASS
210,2,Crime,1897659,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
211,2,Crime,1901310,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
212,2,Crime,1903086,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
213,2,Crime,1913072,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
214,2,Crime,1914449,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
215,2,Crime,1918743,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
216,2,Crime,1921579,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
217,2,Crime,1941619,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
218,2,Crime,1944329,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
219,2,Crime,4735022,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
220,2,Crime,3925169,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
221,2,Crime,3873666,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
222,2,Crime,3990661,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
223,2,Crime,3991388,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
224,2,Crime,4062569,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
225,2,Crime,4072317,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
226,2,Crime,4084410,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
227,2,Crime,4096652,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
228,2,Crime,4108747,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
229,2,Crime,4134380,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
230,2,Crime,4139807,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
231,2,Crime,4204463,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
232,2,Crime,4266129,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
233,2,Crime,4266233,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
234,2,Crime,4266359,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
235,2,Crime,4314972,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
236,2,Crime,4328530,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
237,2,Crime,4371831,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
238,2,Crime,4389998,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
239,2,Crime,4404632,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
240,2,Crime,4415441,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
241,2,Crime,4448874,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
242,2,Crime,4461668,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
243,2,Crime,4466873,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
244,2,Crime,4484361,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
245,2,Crime,4492950,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
246,2,Crime,4495337,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
247,2,Crime,4497387,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
248,2,Crime,4529660,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
249,2,Crime,4540937,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
250,2,Crime,4549701,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
251,2,Crime,4591991,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
252,2,Crime,4703132,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
253,2,Crime,4627829,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
254,2,Crime,4635931,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
255,2,Crime,4637717,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
256,2,Crime,6541349,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,ASSAULT
257,2,Crime,4654344,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
258,2,Crime,4662658,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,ROBBERY
259,2,Crime,4676077,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
260,2,Crime,4765422,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,CRIMINAL DAMAGE
261,2,Crime,4792959,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
262,2,Crime,4864930,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
263,2,Crime,4872721,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
264,2,Crime,4908534,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
265,2,Crime,4908625,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
266,2,Crime,4909671,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
267,2,Crime,4947885,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,NARCOTICS
268,2,Crime,5117912,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,DECEPTIVE PRACTICE
269,2,Crime,5233859,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,CRIMINAL TRESPASS
270,2,Crime,6118213,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,THEFT
271,2,Crime,6709565,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
272,2,Crime,6417931,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,BATTERY
273,2,Crime,6720722,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
274,2,Crime,6721662,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
275,2,Crime,6873830,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,CRIMINAL TRESPASS
276,2,Crime,6888154,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,CRIMINAL TRESPASS
277,2,Crime,6710312,002XX S CANAL ST,51.1314395763,48.8685604237,28.5,OTHER OFFENSE
