name,address,categories,Block,matched_address,matched_name,licence_description
Mezza,181 w madison st ,"Restaurants, Mediterranean, METADATA",001xx w madison st,181 W MADISON ST 1ST,MEZZA,Retail Food Establishment
KFC & Pizza Hut Express,612 s wabash ave ,"Restaurants, Fast Food, Pizza, METADATA",006xx s wabash ave,612 S WABASH AVE 1,KFC/PIZZAHUT EXPRESS,Retail Food Establishment
Cocina Barro,73 e lake st ,"Restaurants, Latin American, Mexican, Cuban, Tapas Bars, METADATA",000xx e lake st,73 E LAKE ST 1ST,COCINA BARRO,Consumption on Premises - Incidental Activity
Cocina Barro,73 e lake st ,"Restaurants, Latin American, Mexican, Cuban, Tapas Bars, METADATA",000xx e lake st,73 E LAKE ST 1ST,COCINA BARRO,Music and Dance
Cocina Barro,73 e lake st ,"Restaurants, Latin American, Mexican, Cuban, Tapas Bars, METADATA",000xx e lake st,73 E LAKE ST 1ST,COCINA BARRO,Retail Food Establishment
Potbelly Sandwich Works,409 w washington st ,"Restaurants, Sandwiches, METADATA",004xx w washington st,409 W WASHINGTON ST 1ST 110,POTBELLY SANDWICH WORKS,Retail Food Establishment
Caffe Baci,332 s michigan ave ,"Food, Coffee & Tea, Restaurants, Sandwiches, METADATA",003xx s michigan ave,332 S MICHIGAN AVE,CAFFE BACI,Retail Food Establishment
Hi Tea,14 e 11th st ,"Food, Coffee & Tea, Restaurants, Sandwiches, Vegetarian, METADATA",000xx e 11th st,14 E 11TH ST,HI TEA,Limited Business License
Hi Tea,14 e 11th st ,"Food, Coffee & Tea, Restaurants, Sandwiches, Vegetarian, METADATA",000xx e 11th st,14 E 11TH ST,HI TEA,Retail Food Establishment
Panda Express,77 e adams st ,"Restaurants, Chinese, METADATA",000xx e adams st,77 E ADAMS ST,PANDA EXPRESS #299,Retail Food Establishment
Panda Express,77 e adams st ,"Restaurants, Chinese, METADATA",000xx e adams st,77 E ADAMS ST MAIN,PANDA EXPRESS,Retail Food Establishment
Nino Paninos,225 s canal st ,"Restaurants, Sandwiches, METADATA",002xx s canal st,225 S CANAL ST  MEZZ,NINO PANINO'S INC,Retail Food Establishment
Sixty Five Chinese Restaurants,176 n wells st ,"Restaurants, Chinese, METADATA",001xx n wells st,176 N WELLS ST,SIXTY FIVE RESTAURANT,Retail Food Establishment
Potbelly Sandwich Shop,200 s michigan ave ,"Restaurants, Sandwiches, METADATA",002xx s michigan ave,200 S MICHIGAN AVE 1ST 140,POTBELLY SANDWICH WORKS,Retail Food Establishment
Mac Kelly's Greens & Things,123 w madison st ,"Food, Convenience Stores, Restaurants, Delis, METADATA",001xx w madison st,123 W MADISON ST  STREE,MAC KELLYS GREENS & THINGS,Retail Food Establishment
China Grill,230 n michigan ave ,"Restaurants, Asian Fusion, METADATA",002xx n michigan ave,230 N MICHIGAN AVE,China Grill,Caterer's Liquor License
China Grill,230 n michigan ave ,"Restaurants, Asian Fusion, METADATA",002xx n michigan ave,230 N MICHIGAN AVE,China Grill,Consumption on Premises - Incidental Activity
China Grill,230 n michigan ave ,"Restaurants, Asian Fusion, METADATA",002xx n michigan ave,230 N MICHIGAN AVE,China Grill,Retail Food Establishment
China Grill,230 n michigan ave ,"Restaurants, Asian Fusion, METADATA",002xx n michigan ave,230 N MICHIGAN AVE,China Grill,Tobacco
McDonald's,201 n clark st ,"Restaurants, Burgers, Fast Food, METADATA",002xx n clark st,201 N CLARK ST,MCDONALD'S,Retail Food Establishment
McDonald's,201 n clark st ,"Restaurants, Burgers, Fast Food, METADATA",002xx n clark st,201 N CLARK ST,MCDONALDS,Retail Food Establishment
Venice Cafe,233 s wacker dr ,"Restaurants, Italian, METADATA",002xx s wacker dr,233 S WACKER DR  LL1,VENICE CAFE,Retail Food Establishment
Venice Cafe,233 s wacker dr ,"Restaurants, Italian, METADATA",002xx s wacker dr,233 S WACKER DR LL2,VENICE CAFE,Retail Food Establishment
Rosebud Prime,1 s dearborn st ,"Restaurants, Steakhouses, METADATA",0000xx s dearborn st,1 S DEARBORN ST,ROSEBUB PRIME,Valet Parking Operator
Rosebud Prime,1 s dearborn st ,"Restaurants, Steakhouses, METADATA",0000xx s dearborn st,1 S DEARBORN ST,ROSEBUD PRIME,Consumption on Premises - Incidental Activity
Rosebud Prime,1 s dearborn st ,"Restaurants, Steakhouses, METADATA",0000xx s dearborn st,1 S DEARBORN ST,ROSEBUD PRIME,Outdoor Patio
Rosebud Prime,1 s dearborn st ,"Restaurants, Steakhouses, METADATA",0000xx s dearborn st,1 S DEARBORN ST,ROSEBUD PRIME,Retail Food Establishment
Hot Woks Cool Sushi,30 s michigan ave ,"Restaurants, Sushi Bars, Thai, Chinese, METADATA",000xx s michigan ave,30 S MICHIGAN AVE  1,HOT WOKS COOL SUSHI,Consumption on Premises - Incidental Activity
Hot Woks Cool Sushi,30 s michigan ave ,"Restaurants, Sushi Bars, Thai, Chinese, METADATA",000xx s michigan ave,30 S MICHIGAN AVE  1,HOT WOKS COOL SUSHI,Retail Food Establishment
Potbelly Sandwich Works,303 w madison st ,"Restaurants, METADATA",003xx w madison st,303 W MADISON ST,POTBELLY SANDWICH WORKS LLC,Retail Food Establishment
Pizza-Ria,719 s state ,"Restaurants, Pizza, METADATA",007xx s state,719 S STATE ST 1ST 1N,PIZZA RIA,Retail Food Establishment
Panera Bread,250 s wacker dr ,"Food, Bagels, Bakeries, Restaurants, Sandwiches, METADATA",002xx s wacker dr,250 S WACKER DR 1ST,PANERA BREAD  # 1190,Retail Food Establishment
Pockets,555 s dearborn st ,"Restaurants, Sandwiches, Fast Food, METADATA",005xx s dearborn st,555 S DEARBORN ST GROUND FLOOR,Pockets,Retail Food Establishment
Corner Bakery Cafe,224 s michigan ave ,"Restaurants, Sandwiches, Breakfast & Brunch, Event Planning & Services, Caterers, METADATA",002xx s michigan ave,224 S MICHIGAN AVE,CORNER BAKERY #0079,Retail Food Establishment
Corner Bakery Cafe,224 s michigan ave ,"Restaurants, Sandwiches, Breakfast & Brunch, Event Planning & Services, Caterers, METADATA",002xx s michigan ave,224 S MICHIGAN AVE,CORNER BAKERY CAFE,Retail Food Est.-Supplemental License for Dog-Friendly Areas
Corner Bakery Cafe,224 s michigan ave ,"Restaurants, Sandwiches, Breakfast & Brunch, Event Planning & Services, Caterers, METADATA",002xx s michigan ave,224 S MICHIGAN AVE,CORNER BAKERY CAFE,Retail Food Establishment
Corner Bakery Cafe,224 s michigan ave ,"Restaurants, Sandwiches, Breakfast & Brunch, Event Planning & Services, Caterers, METADATA",002xx s michigan ave,224 S MICHIGAN AVE  108 A,CORNER BAKERY,Consumption on Premises - Incidental Activity
Corner Bakery Cafe,224 s michigan ave ,"Restaurants, Sandwiches, Breakfast & Brunch, Event Planning & Services, Caterers, METADATA",002xx s michigan ave,224 S MICHIGAN AVE  108 A,CORNER BAKERY,Retail Food Establishment
Vista Carry Out,233 n michigan ave ,"Restaurants, Italian, METADATA",002xx n michigan ave,233 N MICHIGAN AVE,VISTA CARRY OUT,Retail Food Establishment
Triple 1 Chinese Restaurant,177 n state ,"Restaurants, Chinese, METADATA",001xx n state,177 N STATE ST 2ND 200,TRIPLE I RESTAURANT,Retail Food Establishment
La Cocina,45 n wells st ,"Restaurants, Mexican, METADATA",000xx n wells st,45 N WELLS ST,LA COCINA,Retail Food Establishment
Jimmy John's,28 n clark st ,"Restaurants, Sandwiches, METADATA",000xx n clark st,28 N CLARK ST,JIMMY JOHN'S CLARK,Retail Food Establishment
Potbelly Sandwich Works,175 w jackson blvd ,"Restaurants, Sandwiches, METADATA",001xx w jackson blvd,175 W JACKSON BLVD,POTBELLY SANDWICH WORKS,Retail Food Establishment
Potbelly Sandwich Works,175 w jackson blvd ,"Restaurants, Sandwiches, METADATA",001xx w jackson blvd,175 W JACKSON BLVD,POTBELLY SANDWICH WORKS LLC,Retail Food Establishment
Metro Deli & Cafe,210 s canal st ,"Restaurants, Diners, Nightlife, Bars, Dive Bars, METADATA",002xx s canal st,210 S CANAL ST 1ST,METRO DELI,Consumption on Premises - Incidental Activity
Metro Deli & Cafe,210 s canal st ,"Restaurants, Diners, Nightlife, Bars, Dive Bars, METADATA",002xx s canal st,210 S CANAL ST 1ST,METRO DELI,Limited Business License
Metro Deli & Cafe,210 s canal st ,"Restaurants, Diners, Nightlife, Bars, Dive Bars, METADATA",002xx s canal st,210 S CANAL ST 1ST,METRO DELI,Public Place of Amusement
Metro Deli & Cafe,210 s canal st ,"Restaurants, Diners, Nightlife, Bars, Dive Bars, METADATA",002xx s canal st,210 S CANAL ST 1ST,METRO DELI,Retail Food Establishment
Metro Deli & Cafe,210 s canal st ,"Restaurants, Diners, Nightlife, Bars, Dive Bars, METADATA",002xx s canal st,210 S CANAL ST 1ST,METRO DELI,Tobacco
Asian Chao and Villa Italian,18 w jackson blvd ,"Restaurants, Italian, METADATA",000xx w jackson blvd,18 W JACKSON BLVD 1ST,ASIAN CHAO & VILLA ITALIAN,Retail Food Establishment
La Cocina,178 n franklin st ,"Restaurants, Mexican, METADATA",001xx n franklin st,178 N FRANKLIN ST,LA COCINA,Retail Food Establishment
Nick's Fishmarket,51 s. clark st ,"Restaurants, Seafood, METADATA",000xx s. clark st,51 S CLARK ST,NICK'S FISHMARKET,Consumption on Premises - Incidental Activity
Nick's Fishmarket,51 s. clark st ,"Restaurants, Seafood, METADATA",000xx s. clark st,51 S CLARK ST,NICK'S FISHMARKET,Retail Food Establishment
Nick's Fishmarket,51 s. clark st ,"Restaurants, Seafood, METADATA",000xx s. clark st,51 S CLARK ST,NICK'S FISHMARKET,Tobacco
Nick's Fishmarket,51 s. clark st ,"Restaurants, Seafood, METADATA",000xx s. clark st,51 S CLARK ST 1ST,NICK'S FISHMARKET RESTAURANT,Consumption on Premises - Incidental Activity
Nick's Fishmarket,51 s. clark st ,"Restaurants, Seafood, METADATA",000xx s. clark st,51 S CLARK ST 1ST,NICK'S FISHMARKET RESTAURANT,Retail Food Establishment
Nick's Fishmarket,51 s. clark st ,"Restaurants, Seafood, METADATA",000xx s. clark st,51 S CLARK ST 1ST,NICK'S FISHMARKET RESTAURANT,Tobacco
Taco Fresco,180 n wells st ,"Restaurants, Mexican, METADATA",001xx n wells st,180 N WELLS ST,TACO FRESCO,Retail Food Establishment
Taco Fresco,180 n wells st ,"Restaurants, Mexican, METADATA",001xx n wells st,180 N WELLS ST 1,TACO FRESCO,Retail Food Establishment
Taco Fresco,180 n wells st ,"Restaurants, Mexican, METADATA",001xx n wells st,180 N WELLS ST 1ST,TACO FRESCO,Retail Food Establishment
Native Foods Cafe,218 s clark st ,"Restaurants, Vegan, Vegetarian, METADATA",002xx s clark st,218 S CLARK ST,NATIVE FOODS CAFE,Consumption on Premises - Incidental Activity
Native Foods Cafe,218 s clark st ,"Restaurants, Vegan, Vegetarian, METADATA",002xx s clark st,218 S CLARK ST,NATIVE FOODS CAFE,Outdoor Patio
Native Foods Cafe,218 s clark st ,"Restaurants, Vegan, Vegetarian, METADATA",002xx s clark st,218 S CLARK ST,NATIVE FOODS CAFE,Retail Food Establishment
Native Foods Cafe,218 s clark st ,"Restaurants, Vegan, Vegetarian, METADATA",002xx s clark st,218 S CLARK ST 1,NATIVE FOODS CAFE,Consumption on Premises - Incidental Activity
Native Foods Cafe,218 s clark st ,"Restaurants, Vegan, Vegetarian, METADATA",002xx s clark st,218 S CLARK ST 1,NATIVE FOODS CAFE,Outdoor Patio
Native Foods Cafe,218 s clark st ,"Restaurants, Vegan, Vegetarian, METADATA",002xx s clark st,218 S CLARK ST 1,NATIVE FOODS CAFE,Retail Food Establishment
Mezza Grilled Wraps & Pitas,2 n riverside plz ,"Restaurants, Greek, Mediterranean, METADATA",0000xx n riverside plz,2 N RIVERSIDE PLZ,"MEZZA GRILLED WRAPS AND PITA, INC",Retail Food Establishment
Dagwood's Sandwich Factory,162 n franklin st ,"Restaurants, Sandwiches, METADATA",001xx n franklin st,162 N FRANKLIN ST 1ST,"DAGWOOD'S SANDWICH FACTORY, LLC",Retail Food Establishment
Bon Appetit,227 w monroe st ,"Restaurants, Cafes, METADATA",002xx w monroe st,227 W MONROE ST  CORPO,BON APPETIT AT AT&T,Caterer's Liquor License
Bon Appetit,227 w monroe st ,"Restaurants, Cafes, METADATA",002xx w monroe st,227 W MONROE ST  CORPO,BON APPETIT AT AT&T,Retail Food Establishment
Chicago Sub,81 e madison st ,"Restaurants, Sandwiches, METADATA",000xx e madison st,81 E MADISON ST  1,CHICAGO SUB INC,Retail Food Establishment
Panda Express,110 w monroe st ,"Restaurants, Chinese, METADATA",001xx w monroe st,110 W MONROE ST,PANDA EXPRESS #365,Retail Food Establishment
Panda Express,110 w monroe st ,"Restaurants, Chinese, METADATA",001xx w monroe st,110 W MONROE ST  1ST,PANDA EXPRESS,Retail Food Establishment
Ricobene's,60 e. lake st ,"Restaurants, METADATA",000xx e. lake st,60 E LAKE ST,RICOBENE'S,Retail Food Establishment
Bockwinkel's,222 n columbus dr ,"Food, Grocery, Restaurants, Delis, METADATA",002xx n columbus dr,222 N COLUMBUS DR 1ST,BOCKWINKELS,Package Goods
Bockwinkel's,222 n columbus dr ,"Food, Grocery, Restaurants, Delis, METADATA",002xx n columbus dr,222 N COLUMBUS DR 1ST,BOCKWINKELS,Retail Food Establishment
Bockwinkel's,222 n columbus dr ,"Food, Grocery, Restaurants, Delis, METADATA",002xx n columbus dr,222 N COLUMBUS DR 1ST,BOCKWINKELS,Tobacco
Panda Express,29 e madison st ,"Restaurants, Chinese, METADATA",000xx e madison st,29 E MADISON ST  191,"PANDA EXPRESS, INC #1102",Retail Food Establishment
Pret A Manger,225 n michigan ave ,"Restaurants, Delis, Sandwiches, METADATA",002xx n michigan ave,225 N MICHIGAN AVE 1ST,Pret a Manger,Retail Food Establishment
Trotter's To Go Express,200 w monroe ave ,"Restaurants, Sandwiches, METADATA",002xx w monroe ave,200 W MONROE ST,TROTTER'S TO GO EXPRESS,Retail Food Establishment
Corner Bakery Cafe,360 n michigan ave ,"Event Planning & Services, Caterers, Restaurants, Breakfast & Brunch, Sandwiches, METADATA",003xx n michigan ave,360 N MICHIGAN AVE,CORNER BAKERY,Consumption on Premises - Incidental Activity
Corner Bakery Cafe,360 n michigan ave ,"Event Planning & Services, Caterers, Restaurants, Breakfast & Brunch, Sandwiches, METADATA",003xx n michigan ave,360 N MICHIGAN AVE,CORNER BAKERY,Retail Food Establishment
Corner Bakery Cafe,360 n michigan ave ,"Event Planning & Services, Caterers, Restaurants, Breakfast & Brunch, Sandwiches, METADATA",003xx n michigan ave,360 N MICHIGAN AVE,CORNER BAKERY #0160,Retail Food Establishment
Corner Bakery Cafe,360 n michigan ave ,"Event Planning & Services, Caterers, Restaurants, Breakfast & Brunch, Sandwiches, METADATA",003xx n michigan ave,360 N MICHIGAN AVE,CORNER BAKERY CAFE,Retail Food Est.-Supplemental License for Dog-Friendly Areas
Corner Bakery Cafe,360 n michigan ave ,"Event Planning & Services, Caterers, Restaurants, Breakfast & Brunch, Sandwiches, METADATA",003xx n michigan ave,360 N MICHIGAN AVE,CORNER BAKERY CAFE,Retail Food Establishment
Heaven On Seven On Wabash,111 n wabash ave ,"Restaurants, Cajun/Creole, Southern, METADATA",001xx n wabash ave,111 N WABASH AVE 7 700,HEAVEN ON SEVEN,Consumption on Premises - Incidental Activity
Heaven On Seven On Wabash,111 n wabash ave ,"Restaurants, Cajun/Creole, Southern, METADATA",001xx n wabash ave,111 N WABASH AVE 7 700,HEAVEN ON SEVEN,Retail Food Establishment
McDonald's,230 s state ,"Restaurants, Fast Food, METADATA",002xx s state,230 S STATE ST  1,MCDONALD'S,Retail Food Establishment
The Plaza at Park Grill,11 n michigan ave ,"Restaurants, American (Traditional), METADATA",000xx n michigan ave,11-35 N MICHIGAN AVE,THE PARK GRILL,Caterer's Liquor License
The Plaza at Park Grill,11 n michigan ave ,"Restaurants, American (Traditional), METADATA",000xx n michigan ave,11-35 N MICHIGAN AVE,THE PARK GRILL,Consumption on Premises - Incidental Activity
The Plaza at Park Grill,11 n michigan ave ,"Restaurants, American (Traditional), METADATA",000xx n michigan ave,11-35 N MICHIGAN AVE,THE PARK GRILL,Public Place of Amusement
The Plaza at Park Grill,11 n michigan ave ,"Restaurants, American (Traditional), METADATA",000xx n michigan ave,11-35 N MICHIGAN AVE,THE PARK GRILL,Retail Food Establishment
Estelle's Kitchens,305 w lake st ,"Restaurants, METADATA",003xx w lake st,305 W LAKE ST  1,ESTELLES KITCHEN,Retail Food Establishment
Au Bon Pain,122 s michigan ave ,"Food, Bakeries, Restaurants, Sandwiches, METADATA",001xx s michigan ave,122 S MICHIGAN AVE,AU BON PAIN,Retail Food Establishment
Au Bon Pain,122 s michigan ave ,"Food, Bakeries, Restaurants, Sandwiches, METADATA",001xx s michigan ave,122 S MICHIGAN AVE 1 1,AU BON PAIN,Retail Food Establishment
America's Dog,21 e adams st ,"Restaurants, Hot Dogs, METADATA",000xx e adams st,21 E ADAMS ST 1ST,AMERICA'S DOG,Retail Food Establishment
Panda Express,77 w jackson blvd ,"Restaurants, Chinese, METADATA",000xx w jackson blvd,77 W JACKSON BLVD,PANDA EXPRESS #236,Retail Food Establishment
Panda Express,77 w jackson blvd ,"Restaurants, Chinese, METADATA",000xx w jackson blvd,77 W JACKSON BLVD  FOOD,PANDA EXPRESS,Retail Food Establishment
Shalom Deli,7 n wells st ,"Restaurants, Delis, METADATA",0000xx n wells st,7 N WELLS ST,SHALOM DELI INC,Retail Food Establishment
Atwood Cafe,1 w washington st ,"Restaurants, American (New), METADATA",0000xx w washington st,1 W WASHINGTON ST 1,ATWOOD,Consumption on Premises - Incidental Activity
Atwood Cafe,1 w washington st ,"Restaurants, American (New), METADATA",0000xx w washington st,1 W WASHINGTON ST 1,ATWOOD,Public Place of Amusement
Atwood Cafe,1 w washington st ,"Restaurants, American (New), METADATA",0000xx w washington st,1 W WASHINGTON ST 1,ATWOOD,Retail Food Establishment
Sopraffina Marketcaffe,222 w adams st ,"Restaurants, Italian, METADATA",002xx w adams st,222 W ADAMS ST,SOPRAFFINA MARKETCAFFE,Retail Food Establishment
Elephant & Castle,185 north wabash ave ,"Nightlife, Bars, Pubs, Restaurants, British, METADATA",001xx north wabash ave,185 N WABASH AVE BSMT & 1,ELEPHANT & CASTLE,Consumption on Premises - Incidental Activity
Elephant & Castle,185 north wabash ave ,"Nightlife, Bars, Pubs, Restaurants, British, METADATA",001xx north wabash ave,185 N WABASH AVE BSMT & 1,ELEPHANT & CASTLE,Retail Food Establishment
Mr Submarine,16 w jackson blvd ,"Restaurants, Sandwiches, METADATA",000xx w jackson blvd,16 W JACKSON BLVD,MR SUBMARINE,Retail Food Establishment
Mixed Greens,223 w lake st ,"Restaurants, Sandwiches, Salad, Pizza, METADATA",002xx w lake st,223 W LAKE ST 1,MIXED GREEN,Retail Food Establishment
Trader Joe's,1147 s wabash ave ,"Food, Grocery, METADATA",011xx s wabash ave,1147 S WABASH AVE 1 100,TRADER JOE'S #701,Limited Business License
Trader Joe's,1147 s wabash ave ,"Food, Grocery, METADATA",011xx s wabash ave,1147 S WABASH AVE 1 100,TRADER JOE'S #701,Package Goods
Trader Joe's,1147 s wabash ave ,"Food, Grocery, METADATA",011xx s wabash ave,1147 S WABASH AVE 1 100,TRADER JOE'S #701,Retail Food Establishment
Jimmy John's,2 n riverside plz ,"Restaurants, Sandwiches, METADATA",0000xx n riverside plz,2 N RIVERSIDE PLZ 2ND,JIMMY JOHNS,Retail Food Establishment
Mac Kelly's Greens & Things,177 n wells st ,"Food, Convenience Stores, Restaurants, Delis, Breakfast & Brunch, METADATA",001xx n wells st,177 N WELLS ST,MAC KELLY'S GREEN & THINGS INC,Retail Food Establishment
Mama Falco's Pizza,5 n wells st ,"Restaurants, Pizza, METADATA",0000xx n wells st,5 N WELLS ST,MAMA FALCOS,Retail Food Establishment
Mama Falco's Pizza,5 n wells st ,"Restaurants, Pizza, METADATA",0000xx n wells st,5 N WELLS ST  1,MAMA FALCO'S,Retail Food Establishment
Manchu Wok,105 w madison ave ,"Restaurants, Chinese, METADATA",001xx w madison ave,105 W MADISON ST LOWER LEVEL 109C,MANCHU WOK,Retail Food Establishment
The Great Steak & Potato Company,233 n michigan ave ,"Restaurants, Fast Food, Sandwiches, METADATA",002xx n michigan ave,233 N MICHIGAN AVE,THE GREAT STEAK & POTATOE CO.,Retail Food Establishment
Cafe Mediterra,728 s dearborn st ,"Restaurants, Greek, Middle Eastern, Mediterranean, METADATA",007xx s dearborn st,728 S DEARBORN ST 1ST,CAFE MEDITERRA,Consumption on Premises - Incidental Activity
Cafe Mediterra,728 s dearborn st ,"Restaurants, Greek, Middle Eastern, Mediterranean, METADATA",007xx s dearborn st,728 S DEARBORN ST 1ST,CAFE MEDITERRA,Retail Food Establishment
Sbarro,211 w adams st ,"Restaurants, Pizza, METADATA",002xx w adams st,211 W ADAMS ST 1ST 2,SBARRO,Retail Food Establishment
Stocks & Blondes Bar & Grille,40 n wells st ,"Restaurants, American (Traditional), Nightlife, Bars, METADATA",000xx n wells st,40 N WELLS ST,STOCKS & BLONDES,Retail Food Establishment
Stocks & Blondes Bar & Grille,40 n wells st ,"Restaurants, American (Traditional), Nightlife, Bars, METADATA",000xx n wells st,40 N WELLS ST,STOCKS & BLONDES,Tavern
Stocks & Blondes Bar & Grille,40 n wells st ,"Restaurants, American (Traditional), Nightlife, Bars, METADATA",000xx n wells st,40 N WELLS ST 1ST,STOCKS & BLONDES BAR & GRILLE,Retail Food Establishment
Stocks & Blondes Bar & Grille,40 n wells st ,"Restaurants, American (Traditional), Nightlife, Bars, METADATA",000xx n wells st,40 N WELLS ST 1ST,STOCKS & BLONDES BAR & GRILLE,Tavern
Rivers,30 s wacker dr ,"Restaurants, American (New), METADATA",000xx s wacker dr,30 S WACKER DR 1ST,RIVERS,Consumption on Premises - Incidental Activity
Rivers,30 s wacker dr ,"Restaurants, American (New), METADATA",000xx s wacker dr,30 S WACKER DR 1ST,RIVERS,Outdoor Patio
Rivers,30 s wacker dr ,"Restaurants, American (New), METADATA",000xx s wacker dr,30 S WACKER DR 1ST,RIVERS,Retail Food Establishment
Rivers,30 s wacker dr ,"Restaurants, American (New), METADATA",000xx s wacker dr,30 S WACKER DR 1ST,RIVERS,Tobacco
Brian's Juice Bar & Deli,80 e lake st ,"Restaurants, Greek, Food, Juice Bars & Smoothies, Mediterranean, METADATA",000xx e lake st,80 E LAKE ST  1,BRIAN'S JUICE BAR & DELI.,Limited Business License
Brian's Juice Bar & Deli,80 e lake st ,"Restaurants, Greek, Food, Juice Bars & Smoothies, Mediterranean, METADATA",000xx e lake st,80 E LAKE ST  1,BRIAN'S JUICE BAR & DELI.,Retail Food Establishment
212 On The River,212 n. canal st ,"Restaurants, Cajun/Creole, METADATA",002xx n. canal st,212 N CANAL ST,212 On The River,Consumption on Premises - Incidental Activity
212 On The River,212 n. canal st ,"Restaurants, Cajun/Creole, METADATA",002xx n. canal st,212 N CANAL ST,212 On The River,Outdoor Patio
212 On The River,212 n. canal st ,"Restaurants, Cajun/Creole, METADATA",002xx n. canal st,212 N CANAL ST,212 On The River,Public Place of Amusement
212 On The River,212 n. canal st ,"Restaurants, Cajun/Creole, METADATA",002xx n. canal st,212 N CANAL ST,212 On The River,Retail Food Establishment
Halsted Street Deli,177 n state ,"Restaurants, Delis, METADATA",001xx n state,177 N STATE ST 1 1,HALSTED STREET DELI,Retail Food Establishment
Jimmy Johns,216 w jackson blvd ,"Restaurants, Sandwiches, METADATA",002xx w jackson blvd,216 W JACKSON BLVD,JIMMY JOHNS,Retail Food Establishment
Burrito Beach,195 n dearborn st ,"Restaurants, METADATA",001xx n dearborn st,195 N DEARBORN ST 1ST,BURRITO BEACH,Retail Food Establishment
Subway,407 s dearborn st ,"Restaurants, Fast Food, Sandwiches, METADATA",004xx s dearborn st,407 S DEARBORN ST,SUBWAY,Retail Food Establishment
Fontano's Subs,20 e jackson blvd ,"Restaurants, Delis, METADATA",000xx e jackson blvd,20 E JACKSON BLVD,FONTANA SUBS,Mobile Food Dispenser
Fontano's Subs,20 e jackson blvd ,"Restaurants, Delis, METADATA",000xx e jackson blvd,20 E JACKSON BLVD,FONTANO SUBS,Mobile Food Dispenser
Fontano's Subs,20 e jackson blvd ,"Restaurants, Delis, METADATA",000xx e jackson blvd,20 E JACKSON BLVD 1ST,FONTANO  SUBS,Retail Food Establishment
La Cocina Mexican Grill,11 w jackson blvd ,"Restaurants, Mexican, Breakfast & Brunch, METADATA",000xx w jackson blvd,11 W JACKSON BLVD,LA COCINA MEXICAN GRILL,Retail Food Establishment
La Cocina Mexican Grill,11 w jackson blvd ,"Restaurants, Mexican, Breakfast & Brunch, METADATA",000xx w jackson blvd,11 W JACKSON BLVD 1,"LA COCINA MEXICAN GRILL, LLC",Retail Food Establishment
Bombay Wraps,122 n wells st ,"Restaurants, Indian, METADATA",001xx n wells st,122 N WELLS ST,BOMBAY WRAPS,Mobile Food Dispenser
Bombay Wraps,122 n wells st ,"Restaurants, Indian, METADATA",001xx n wells st,122 N WELLS ST,BOMBAY WRAPS,Mobile Food License
Bombay Wraps,122 n wells st ,"Restaurants, Indian, METADATA",001xx n wells st,122 N WELLS ST 1ST 007,Bombay Wraps,Retail Food Establishment
Sixty Five Chinese Restaurant,201 w madison st ,"Restaurants, Chinese, METADATA",002xx w madison st,201 W MADISON ST 1ST,SIXTY FIVE CHINESE RESTAURANT,Retail Food Establishment
McDonald's,233 w jackson blvd ,"Restaurants, Burgers, Fast Food, METADATA",002xx w jackson blvd,233 W JACKSON BLVD,MCDONALDS,Retail Food Establishment
McDonald's,233 w jackson blvd ,"Restaurants, Burgers, Fast Food, METADATA",002xx w jackson blvd,233 W JACKSON BLVD 1ST,MCDONALD'S #26364,Retail Food Establishment
Corner Bakery Cafe,140 s dearborn st ,"Food, Bakeries, Restaurants, Breakfast & Brunch, METADATA",001xx s dearborn st,140 S DEARBORN ST,CORNER BAKERY,Retail Food Establishment
Corner Bakery Cafe,140 s dearborn st ,"Food, Bakeries, Restaurants, Breakfast & Brunch, METADATA",001xx s dearborn st,140 S DEARBORN ST,CORNER BAKERY #0074,Retail Food Establishment
Corner Bakery Cafe,140 s dearborn st ,"Food, Bakeries, Restaurants, Breakfast & Brunch, METADATA",001xx s dearborn st,140 S DEARBORN ST,CORNER BAKERY CAFE,Retail Food Establishment
Salad Spinners,223 w lake st ,"Restaurants, Vegan, Vegetarian, METADATA",002xx w lake st,223 W LAKE ST LL,SALAD SPINNERS CORP.,Retail Food Establishment
Thai Spoon & Sushi,601 s wabash ave ,"Restaurants, Sushi Bars, Thai, METADATA",006xx s wabash ave,601 S WABASH AVE,THAI SPOON,Consumption on Premises - Incidental Activity
Thai Spoon & Sushi,601 s wabash ave ,"Restaurants, Sushi Bars, Thai, METADATA",006xx s wabash ave,601 S WABASH AVE,THAI SPOON,Retail Food Establishment
Thai Spoon & Sushi,601 s wabash ave ,"Restaurants, Sushi Bars, Thai, METADATA",006xx s wabash ave,601 S WABASH AVE 1,THAI SPOON AND SUSHI,Retail Food Establishment
Thai Spoon & Sushi,601 s wabash ave ,"Restaurants, Sushi Bars, Thai, METADATA",006xx s wabash ave,601 S WABASH AVE 1ST,THAI SPOON AND SUSHI,Retail Food Establishment
Madison Street Cafe,70 w madison st ,"Restaurants, Delis, METADATA",000xx w madison st,70 W MADISON ST LL1,Madison Street Cafe,Retail Food Establishment
Jimmy John's,205 w monroe st ,"Restaurants, Sandwiches, METADATA",002xx w monroe st,205 W MONROE ST,JIMMY JOHN'S,Retail Food Establishment
WingStop,12 e harrison st ,"Restaurants, Chicken Wings, METADATA",000xx e harrison st,12 E HARRISON ST 1ST,WING STOP,Retail Food Establishment
