name,address,categories,Block,matched_address,matched_name,licence_description
Brasserie By LM,800 s michigan ave ,"Restaurants, French, METADATA",008xx s michigan ave,800 S MICHIGAN AVE 1,BRASSERIE BY LM,Consumption on Premises - Incidental Activity
Brasserie By LM,800 s michigan ave ,"Restaurants, French, METADATA",008xx s michigan ave,800 S MICHIGAN AVE 1,BRASSERIE BY LM,Public Place of Amusement
Brasserie By LM,800 s michigan ave ,"Restaurants, French, METADATA",008xx s michigan ave,800 S MICHIGAN AVE 1,BRASSERIE BY LM,Retail Food Establishment
Palm Restaurant,323 e wacker dr ,"Restaurants, Steakhouses, Seafood, METADATA",003xx e wacker dr,323 E WACKER DR,PALM RESTAURANT,Consumption on Premises - Incidental Activity
Palm Restaurant,323 e wacker dr ,"Restaurants, Steakhouses, Seafood, METADATA",003xx e wacker dr,323 E WACKER DR,PALM RESTAURANT,Outdoor Patio
Palm Restaurant,323 e wacker dr ,"Restaurants, Steakhouses, Seafood, METADATA",003xx e wacker dr,323 E WACKER DR,PALM RESTAURANT,Retail Food Establishment
Palm Restaurant,323 e wacker dr ,"Restaurants, Steakhouses, Seafood, METADATA",003xx e wacker dr,323 E WACKER DR,PALM RESTAURANT,Tobacco
Cosi,33 n dearborn st ,"Restaurants, Sandwiches, METADATA",000xx n dearborn st,33 N DEARBORN ST,COSI,Retail Food Establishment
Overflow Coffee Bar,1550 s state ,"Food, Coffee & Tea, Restaurants, Sandwiches, METADATA",015xx s state,1550 S STATE ST 1ST 119,"OVERFLOW COFFEE BAR, L3C",Retail Food Establishment
Grillers,77 w jackson blvd ,"Restaurants, American (Traditional), Burgers, METADATA",000xx w jackson blvd,77 W JACKSON BLVD 2ND,GRILLER'S,Retail Food Establishment
Finkls Deli,400 s financial pl ,"Restaurants, Delis, METADATA",004xx s financial pl,400 S FINANCIAL PL 1ST,FINKL'S DELI,Retail Food Establishment
Simply Thalia,108 n state ,"Restaurants, Asian Fusion, METADATA",001xx n state,108 N STATE ST PEDWAY 10,Simply Thalia,Consumption on Premises - Incidental Activity
Simply Thalia,108 n state ,"Restaurants, Asian Fusion, METADATA",001xx n state,108 N STATE ST PEDWAY 10,Simply Thalia,Retail Food Establishment
Americana Submarine,400 s clark st ,"Restaurants, Sandwiches, METADATA",004xx s clark st,400 S CLARK ST,AMERICANA SUBMARINE,Retail Food Establishment
Americana Submarine,400 s clark st ,"Restaurants, Sandwiches, METADATA",004xx s clark st,400 S CLARK ST,AMERICANA SUBMARINE,Tobacco
Americana Submarine,400 s clark st ,"Restaurants, Sandwiches, METADATA",004xx s clark st,400 S CLARK ST,AMERICANA SUBMARINE INC,Retail Food Establishment
Silk Road Jackson,216 w jackson blvd ,"Restaurants, Chinese, METADATA",002xx w jackson blvd,216 W JACKSON BLVD,SILK ROAD JACKSON CORPORATION,Retail Food Establishment
Avanti Caff̩,200 w jackson blvd ,"Restaurants, Italian, Sandwiches, METADATA",002xx w jackson blvd,200 W JACKSON BLVD 1 120,AVANTI CAFFE,Retail Food Establishment
Toro Sushi Express,201 n clark st ,"Restaurants, Sushi Bars, METADATA",002xx n clark st,201 N CLARK ST 1 1,"TORO SUSHI EXPRESS, INC.",Retail Food Establishment
Lloyd's Chicago,1 s wacker dr ,"Restaurants, Seafood, Steakhouses, METADATA",0000xx s wacker dr,1 S WACKER DR,LLOYD'S CHICAGO RESTAURANT,Caterer's Liquor License
Lloyd's Chicago,1 s wacker dr ,"Restaurants, Seafood, Steakhouses, METADATA",0000xx s wacker dr,1 S WACKER DR,LLOYD'S CHICAGO RESTAURANT,Consumption on Premises - Incidental Activity
Lloyd's Chicago,1 s wacker dr ,"Restaurants, Seafood, Steakhouses, METADATA",0000xx s wacker dr,1 S WACKER DR,LLOYD'S CHICAGO RESTAURANT,Outdoor Patio
Lloyd's Chicago,1 s wacker dr ,"Restaurants, Seafood, Steakhouses, METADATA",0000xx s wacker dr,1 S WACKER DR,LLOYD'S CHICAGO RESTAURANT,Retail Food Establishment
Berghoff Caf̩,17 w adams st ,"Restaurants, German, American (New), Polish, METADATA",000xx w adams st,17 W ADAMS ST BSMT & 1ST,BERGHOFF'S,Consumption on Premises - Incidental Activity
Berghoff Caf̩,17 w adams st ,"Restaurants, German, American (New), Polish, METADATA",000xx w adams st,17 W ADAMS ST BSMT & 1ST,BERGHOFF'S,Retail Food Establishment
Yolk,1120 s michigan ave ,"Restaurants, Breakfast & Brunch, American (Traditional)",011xx s michigan ave,1120 S MICHIGAN AVE 1ST,YOLK,Retail Food Establishment
Lou Malnati's Pizzeria,805 s state ,"Restaurants, Pizza, METADATA",008xx s state,805 S STATE ST,LOU MALNATI'S PIZZERIA,Consumption on Premises - Incidental Activity
Lou Malnati's Pizzeria,805 s state ,"Restaurants, Pizza, METADATA",008xx s state,805 S STATE ST,LOU MALNATI'S PIZZERIA,Retail Food Establishment
Pazzo's @ 311,311 s wacker dr ,"Restaurants, Mediterranean, METADATA",003xx s wacker dr,311 S WACKER DR LL,PAZZO'S,Consumption on Premises - Incidental Activity
Pazzo's @ 311,311 s wacker dr ,"Restaurants, Mediterranean, METADATA",003xx s wacker dr,311 S WACKER DR LL,PAZZO'S,Retail Food Establishment
Potbelly Sandwich Shop,55 w monroe st ,"Restaurants, Sandwiches, METADATA",000xx w monroe st,55 W MONROE ST FIRST 100D,POTBELLY SANDWICH WORKS LLC,Retail Food Establishment
Tokyo Lunch Boxes & Catering,37 n wells st ,"Restaurants, Sushi Bars, Japanese, Event Planning & Services, Caterers, METADATA",000xx n wells st,37 N WELLS ST,TOKYO LUNCH BOXES & CATERING,Retail Food Establishment
Coco's Famous Deep Fried Lobster,426 s clark st ,"Restaurants, Seafood, METADATA",004xx s clark st,426 S CLARK ST,COCO'S FAMOUS FRIED LOBSTER,Retail Food Establishment
Hong Kong Cafe,5 s wabash ave ,"Restaurants, Chinese, METADATA",0000xx s wabash ave,5 S WABASH AVE 3 300,"HONG KONG CAFE, INC.",Retail Food Establishment
Pockets,309 w lake st ,"Restaurants, Vegetarian, Sandwiches, METADATA",003xx w lake st,309 W LAKE ST,POCKETS,Retail Food Establishment
Pockets,309 w lake st ,"Restaurants, Vegetarian, Sandwiches, METADATA",003xx w lake st,309 W LAKE ST 1,POCKETS,Retail Food Establishment
Baja Fresh,180 n michigan ave ,"Restaurants, Mexican, METADATA",001xx n michigan ave,180 N MICHIGAN AVE,BAJA FRESH,Retail Food Establishment
Townhouse Restaurant & Wine Bar,111 s wacker dr ,"Restaurants, American (New), Nightlife, Bars, Wine Bars, METADATA",001xx s wacker dr,111 S WACKER DR,TOWN HOUSE RESTAURANT & WINE BAR,Consumption on Premises - Incidental Activity
Townhouse Restaurant & Wine Bar,111 s wacker dr ,"Restaurants, American (New), Nightlife, Bars, Wine Bars, METADATA",001xx s wacker dr,111 S WACKER DR,TOWN HOUSE RESTAURANT & WINE BAR,Outdoor Patio
Townhouse Restaurant & Wine Bar,111 s wacker dr ,"Restaurants, American (New), Nightlife, Bars, Wine Bars, METADATA",001xx s wacker dr,111 S WACKER DR,TOWN HOUSE RESTAURANT & WINE BAR,Retail Food Establishment
Zapatista,1307 s wabash ave ,"Restaurants, Mexican, Latin American, METADATA",013xx s wabash ave,1307 S WABASH AVE,ZAPATISTA,Caterer's Liquor License
Zapatista,1307 s wabash ave ,"Restaurants, Mexican, Latin American, METADATA",013xx s wabash ave,1307 S WABASH AVE,ZAPATISTA,Consumption on Premises - Incidental Activity
Zapatista,1307 s wabash ave ,"Restaurants, Mexican, Latin American, METADATA",013xx s wabash ave,1307 S WABASH AVE,ZAPATISTA,Retail Food Establishment
Petterino's,150 n dearborn st ,"Restaurants, American (Traditional), Italian, METADATA",001xx n dearborn st,150 N DEARBORN ST,PETTERINOS,Valet Parking Operator
City Tavern,1416 s michigan ave ,"Restaurants, American (New), METADATA",014xx s michigan ave,1416-1418 S MICHIGAN AVE,CITY TAVERN CHICAGO,Consumption on Premises - Incidental Activity
City Tavern,1416 s michigan ave ,"Restaurants, American (New), METADATA",014xx s michigan ave,1416-1418 S MICHIGAN AVE,CITY TAVERN CHICAGO,Retail Food Establishment
Panera Bread,2 n michigan ave ,"Food, Bakeries, Restaurants, Sandwiches, METADATA",0000xx n michigan ave,2 N MICHIGAN AVE,Panera Bread,Retail Food Establishment
McDonald's,29 n wacker dr ,"Restaurants, Fast Food, Burgers, METADATA",000xx n wacker dr,29 N WACKER DR,MCDONALD'S#20518,Retail Food Establishment
McDonald's,29 n wacker dr ,"Restaurants, Fast Food, Burgers, METADATA",000xx n wacker dr,29 N WACKER DR 1,McDONALD'S,Retail Food Establishment
Panozzo's Italian Market,1303 s michigan ave ,"Event Planning & Services, Caterers, Restaurants, Delis, Sandwiches, METADATA",013xx s michigan ave,1303 S MICHIGAN AVE 1,PANOZZO'S ITALIAN SPECIALTIES,Limited Business License
