restaurantID,rating_y,average sentiments
1y1xDvXbO-bKZFgmkMALVA,3.0487804878048776,positive
1yUM4vdxwTDs6EuoZ086Hg,3.0,positive
2-Jvw8bADNZ0E-T3tDDrRA,4.0,negative
20M9zhLEEnoB0qGsyoSxIA,4.5,negative
20wfxKZnNFsnp2CdB7Eahw,5.0,positive
210rvDTo_0HSSo5tLr9HMA,2.5,negative
21D0_8YEyT7I69iwY6XIlQ,2.8461538461538463,negative
21Q4OsA95Vb2TURFpeTIcg,3.0,positive
21f2w6z-FdAjnYu970gn0g,3.0,positive
22GkDUHxH3xBmGO0_g4GVQ,3.0,positive
24WqBsmrWPYEsI0ys3ZWWA,5.0,positive
24sB8bOQneWRVBi9N1VY5Q,3.2666666666666666,positive
2AH6AcX1L6sNX60GUsEwVA,4.120689655172414,positive
2BxHjDHNq2342L_cMsSNgg,3.333333333333333,positive
2BxHkSktvRjxZ6Be9Y4NVw,3.6666666666666665,negative
2CWs-l5YJSNgRN77erAXbw,4.666666666666667,positive
2G_LdsOLFtHhekimlOeRcw,3.8125,negative
2Gvg-l2UBRpb7sGxR0aZPA,1.0,negative
2Lly37VVeM39l1RS3EzqAw,3.5,positive
2PIvYS7kCl4O8WD71-XjQw,4.0,negative
2T77jRv5abRFZnzuqYCK_w,4.0,positive
2U4Joky5DZ3m8-HN4iM8cg,5.0,positive
2ZJ8Pr0OhDYEsF8KuITTzQ,3.5,positive
2ZURzjCMKBBClbafMY0eHw,2.6666666666666665,negative
2a5LBuNC1hQNOS9pbaRIkQ,3.0,negative
2ai5kEKuLQ_lGmKs5x81Tw,2.75,positive
2fMPAjajtxmcaJmAIaZ7Eg,3.8333333333333335,positive
2fUEU9X3sKA52G45edMizA,5.0,positive
2fZ02ae7kZG9PW0vKjtTRQ,3.9166666666666665,negative
2g63sTi0w1aB6avw7rP69w,3.0,positive
2gmthMUNBttWUIugJAnOkw,4.125,negative
2idH6ihDTO_qK9-y8r-hKg,4.0,positive
2ldSwMPrAV59rHSOymBqWw,2.0,negative
2m_KBLL9Bk_dwZ5n5b11nw,3.7910447761194033,positive
2mafzHdB8XlBfBqwclWkKg,3.6666666666666665,negative
2nghVWzBaF45Vl--2O6cSA,5.0,positive
2svAajXvBaFJpv8pWxAc3g,4.0,positive
2wQJD6EQTSsEKuJLysYB_g,4.055555555555555,positive
2xezU4jZXr3SsdNVq5Ta6g,3.5,negative
2zhHulwNrtph6BPQK_lQ1w,4.5,negative
32xJ0Xxshxzy8XhXp2WnKQ,4.75,positive
35KeOhB4jWlCwAxlXuxtUg,5.0,positive
