Restaurant Name,Address,Failed inspection on,Alive for x years
SUBWAY,1501 W MADISON ST ,2010-10-14,5.42
SUBWAY,166 W WASHINGTON ST ,2010-03-26,7.63
SUBWAY,17 S WABASH AVE ,2010-03-11,6.33
SUBWAY,335 S FRANKLIN ST ,2014-04-08,9.40
SUBWAY,604 S Wabash AVE ,2010-03-17,6.35
SUBWAY #7706,335 S FRANKLIN ST ,2014-04-08,7.37
SWEET FACTORY,100 W RANDOLPH ST ,2011-01-20,7.81
TACO FRESCO,180 N WELLS ST ,2014-06-24,11.62
TACO FRESCO,23 E ADAMS ST ,2014-06-17,10.35
THE INDIA GRILL,1112 S WABASH AVE ,2010-10-06,2.12
THE LOBBY SHOP,1 N LA SALLE ST ,2012-11-05,2.67
TRAVEL TRADERS #523,323 E WACKER DR ,2010-12-28,2.16
V & V MINI MART,2059 W 21ST ST ,2015-04-27,0.18
VENUS CYPRIOT CUISINE,820 W JACKSON BLVD ,2010-10-07,2.48
WAGNER'S BAKERY,2148 W CERMAK RD ,2010-06-23,8.16
"WISHCO, INC.",1546 W 35TH ST ,2010-01-13,3.84
XIN XIN RESTAURANT,3417 S HALSTED ST ,2010-01-22,2.90
YOLK,1120 S MICHIGAN AVE ,2014-10-15,7.92
ZEBRA'S GOURMET HOT DOGS,3551 S HALSTED ST ,2012-09-05,2.33
