Year,Business Type,Business Name,address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#On Premises
2001,Restaurant,Indian Express,120 n wells st ,False,False,NARCOTICS,1875,3440,1
2001,Restaurant,Off the Tracks Grill,190 n wells st ,False,False,NARCOTICS,1875,3440,1
2001,Restaurant,Sixty Five Chinese Restaurants,176 n wells st ,False,False,NARCOTICS,1875,3440,1
2001,Restaurant,Bombay Wraps,122 n wells st ,False,False,NARCOTICS,1875,3440,1
2001,Restaurant,Curried Loop,171 n wells st ,False,False,NARCOTICS,1875,3440,1
2001,Restaurant,Pierogi Heaven,169 n wells st ,False,False,NARCOTICS,1875,3440,1
2001,Restaurant,Billy Goat Tavern & Grill,330 s wells st ,True,False,BATTERY,1821,500,1
2001,Restaurant,Lai Lai Oriental Express,330 s wells st ,False,False,BATTERY,1821,500,1
2001,Restaurant,Around the Corner,325 s franklin st ,False,False,NARCOTICS,1803,3548,1
2001,Restaurant,Pockets,329 s franklin st ,False,False,NARCOTICS,1803,3548,1
2001,Restaurant,I Dream Of Falafel,331 s franklin st ,False,False,NARCOTICS,1803,3548,1
2001,Restaurant,Petra Cafe,331 s franklin st ,False,False,NARCOTICS,1803,3548,1
2001,Restaurant,Quiznos,333 s franklin st ,False,False,NARCOTICS,1803,3548,1
2001,Restaurant,Freshii,311 s wacker dr ,False,False,BATTERY,1801,490,2
2001,Restaurant,Pazzo's @ 311,311 s wacker dr ,False,False,BATTERY,1801,490,2
2001,Restaurant,Harry's Sandwich Shop,336 s dearborn st ,False,False,NARCOTICS,1786,3508,1
2001,Restaurant,Marcello's Market & Deli,155 n wacker dr ,False,False,NARCOTICS,1763,3059,1
2001,Restaurant,Sushi Sai,123 n wacker dr ,False,False,NARCOTICS,1763,3059,1
2001,Restaurant,Specialty's Cafe & Bakery,191 n wacker dr ,False,False,NARCOTICS,1763,3059,1
2001,Restaurant,Marcello's Market & Deli,155 n wacker dr ,False,False,BATTERY,1757,540,2
2001,Restaurant,Sushi Sai,123 n wacker dr ,False,False,BATTERY,1757,540,2
2001,Restaurant,Specialty's Cafe & Bakery,191 n wacker dr ,False,False,BATTERY,1757,540,2
2001,Restaurant,Billy Goat Tavern & Grill,330 s wells st ,True,False,NARCOTICS,1751,3427,2
2001,Restaurant,Lai Lai Oriental Express,330 s wells st ,False,False,NARCOTICS,1751,3427,2
2001,Restaurant,Nicola's Pizzeria,400 s financial pl ,False,False,BATTERY,1687,463,2
2001,Restaurant,Bionda To Go,400 s financial pl ,False,False,BATTERY,1687,463,2
2001,Restaurant,Finkls Deli,400 s financial pl ,False,False,BATTERY,1687,463,2
2001,Restaurant,Skrine Chops,400 s financial pl ,False,False,BATTERY,1687,463,2
2001,School,Guitar Chicago,150 n michigan ave ,False,False,THEFT,1685,903,1
2001,Restaurant,Baja Fresh,180 n michigan ave ,False,False,THEFT,1685,903,1
2001,Restaurant,Noodles & Company,180 n michigan ave ,False,False,THEFT,1685,903,1
2001,Restaurant,Native Foods Cafe,218 s clark st ,False,False,THEFT,1668,333,4
2001,Restaurant,Subway,125 s clark st ,False,False,THEFT,1642,327,5
2001,Restaurant,Spa Cafe,112 w monroe st ,False,False,THEFT,1638,324,5
2001,Restaurant,I Dream of Falafel,112 w monroe st ,False,False,THEFT,1638,324,5
2001,Restaurant,Petterino's,150 n dearborn st ,False,False,THEFT,1631,304,14
2001,Restaurant,Americana Submarine,400 s clark st ,True,False,BATTERY,1620,445,5
2001,Restaurant,Coco's Famous Deep Fried Lobster,426 s clark st ,False,False,BATTERY,1620,445,5
2001,Restaurant,Shark's Fish & Chicken,420 s clark st ,False,False,BATTERY,1620,445,5
2001,Restaurant,Micky's Chicken & Fish,408 s clark st ,False,False,BATTERY,1620,445,5
2001,Restaurant,Au Bon Pain Company,181 w madison st ,False,False,THEFT,1596,323,13
2001,Restaurant,Bacci Pizzeria,105 w madison st ,False,False,THEFT,1596,323,13
2001,Restaurant,Davino's Little Pompei,181 w madison st ,False,False,THEFT,1596,323,13
2001,Restaurant,Mezza,181 w madison st ,False,False,THEFT,1596,323,13
2001,Restaurant,Mac Kelly's Greens & Things,123 w madison st ,False,False,THEFT,1596,323,13
2001,Restaurant,Roma Pizza,105 w madison st ,False,False,THEFT,1596,323,13
2001,Restaurant,Marquette Inn No 4 Restaurant,135 w madison st ,False,False,THEFT,1596,323,13
2001,Restaurant,Banh Mi Express Sandwiches,105 w madison st ,False,False,THEFT,1596,323,13
2001,Restaurant,Delmonico,111 w washington st ,False,False,THEFT,1573,285,10
2001,Restaurant,BomBon 4,170 w washington st ,False,False,THEFT,1573,285,10
2001,Restaurant,Ruby of Siam,170 w washington st ,False,False,THEFT,1573,285,10
2001,Restaurant,Cardozo's Pub,170 w washington st ,True,False,THEFT,1573,285,10
2001,Restaurant,Cosi,230 w monroe st ,False,False,THEFT,1568,312,10
2001,Restaurant,Bon Appetit,227 w monroe st ,False,True,THEFT,1568,312,10
2001,Restaurant,Jersey Mike's Subs,200 w monroe st ,False,False,THEFT,1568,312,10
2001,Restaurant,Pret A Manger,211 w adams st ,False,False,THEFT,1563,313,6
2001,Restaurant,Sopraffina Marketcaffe,222 w adams st ,False,False,THEFT,1563,313,6
2001,Restaurant,Sbarro,211 w adams st ,False,False,THEFT,1563,313,6
2001,Grocery,Bockwinkel's,222 n columbus dr ,True,False,THEFT,1554,499,4
2001,Restaurant,Uncle Abe's Deli,122 s franklin st ,False,False,THEFT,1542,302,4
2001,Restaurant,Quizno's,128 s franklin st ,False,False,THEFT,1542,302,4
2001,Restaurant,Au Bon Pain,125 s wacker dr ,False,False,THEFT,1536,304,5
2001,Restaurant,Townhouse Restaurant & Wine Bar,111 s wacker dr ,False,False,THEFT,1536,304,5
2001,Restaurant,South Branch,100 s wacker dr ,False,False,THEFT,1536,304,5
2001,Restaurant,Sixty Five Chinese Restaurant,201 w madison st ,False,False,THEFT,1492,310,8
2001,Restaurant,Dunkin' Donuts,201 w madison st ,False,False,THEFT,1492,310,8
